類別,建築物名稱,電腦編號,里別,座落,緯度,經度,新計算容量,轄管分局
"供公眾使用建築物","華達電器實業廠","FNA01099","龍山里","新竹市東區龍山里光復路一段544巷20弄15號","24.7873539","121.0109247","86","第二分局"
"一般住宅","大樓","FNA01100","埔頂里","新竹市東區埔頂里埔頂路99巷160號","24.7982568","121.0032409","114","第二分局"
"公有建築物","陽明交通大學","FNA01110","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","303","第二分局"
"一般住宅","大樓","FNA01111","科園里","新竹市東區科園里科園路152.154號","24.7807887","121.0077058","22","第二分局"
"一般住宅","公寓","FNA01112","科園里","新竹市東區科園里民享街197號","24.7804189","121.0092793","24","第二分局"
"公有建築物","陽明交通大學","FNA01113","光明里","新竹市東區光明里20鄰大學路1001號","24.7867129","120.9996672","1176","第二分局"
"一般住宅","公寓","FNA01114","科園里","新竹市東區科園里民享街160號","24.7805157","121.0092459","57","第二分局"
"一般住宅","大樓","FNA01116","科園里","新竹市東區科園里民享街197巷12號","24.7804189","121.0092793","16","第二分局"
"一般住宅","大樓","FNA01117","科園里","新竹市東區科園里科園路36-46號","24.7807887","121.0077058","98","第二分局"
"一般住宅","大樓","FNA01118","科園里","新竹市東區科園里民享街9號","24.7854641","121.008715","16","第二分局"
"一般住宅","公寓","FNA01119","科園里","新竹市東區科園里科園路106號","24.7834043","121.0112357","20","第二分局"
"一般住宅","公寓","FNA01121","科園里","新竹市東區科園里科園路100號","24.7834043","121.0112357","20","第二分局"
"一般住宅","公寓","FNA01123","科園里","新竹市東區科園里科園路9號","24.7820058","121.0118819","23","第二分局"
"一般住宅","大樓","FNA01124","科園里","新竹市東區科園里科園路156號","24.7834043","121.0112357","96","第二分局"
"一般住宅","公寓","FNA01127","科園里","新竹市東區科園里民有一街52號","24.7824954","121.0099851","37","第二分局"
"公有建築物","清華大學","FNA01128","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","318","第二分局"
"一般住宅","公寓","FNA01129","科園里","新竹市東區科園里科園路94-96號","24.7820058","121.0118819","44","第二分局"
"一般住宅","公寓","FNA01130","科園里","新竹市東區科園里科園路44號","24.7807887","121.0077058","20","第二分局"
"公有建築物","陽明交通大學","FNA01133","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","895","第二分局"
"一般住宅","公寓","FNA01138","科園里","新竹市東區科園里民享街182號","24.7805157","121.0092459","15","第二分局"
"公有建築物","陽明交通大學","FNA01145","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","152","第二分局"
"一般住宅","大樓","FNA01146","科園里","新竹市東區科園里民享街156號","24.7809961","121.009179","33","第二分局"
"一般住宅","世紀公園大樓","FNA01147","公園里","新竹市東區公園里體育街26號之1B2","24.802144","120.9820594","2009","第二分局"
"一般住宅","大樓","FNA01148","科園里","新竹市東區科園里民享街152號","24.781092","121.009218","34","第二分局"
"公有建築物","陽明交通大學","FNA01155","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","286","第二分局"
"一般住宅","公寓","FNA01156","科園里","新竹市東區科園里科園路102號","24.7834043","121.0112357","10","第二分局"
"公有建築物","陽明交通大學","FNA01162","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","568","第二分局"
"公有建築物","清華大學","FNA01164","光明里","新竹市東區光明里7鄰光復路二段101號","24.792968","120.9931349","1364","第二分局"
"公有建築物","清華大學","FNA01166","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","214","第二分局"
"公有建築物","清華大學","FNA01167","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","286","第二分局"
"一般住宅","公寓","FNA01183","科園里","新竹市東區科園里愛民街47-49號","24.784732","121.007753","30","第二分局"
"公有建築物","陽明交通大學","FNA01184","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","744","第二分局"
"公有建築物","陽明交通大學","FNA01185","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","135","第二分局"
"公有建築物","清華大學","FNA01186","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","477","第二分局"
"一般住宅","大樓","FNA01188","埔頂里","新竹市東區埔頂里埔頂路99巷62-24號","24.797126","121.0060509","115","第二分局"
"一般住宅","大樓","FNA01189","埔頂里","新竹市東區埔頂里埔頂路99巷62弄18號","24.797291","121.006688","127","第二分局"
"一般住宅","大樓","FNA01190","埔頂里","新竹市東區埔頂里埔頂路1號","24.7927388","121.0072354","114","第二分局"
"一般住宅","大樓","FNA01191","埔頂里","新竹市東區埔頂里埔頂路66巷62弄20號","24.7943813","121.0084626","126","第二分局"
"一般住宅","大樓","FNA01192","埔頂里","新竹市東區埔頂里埔頂路99巷62弄14號","24.7974343","121.0068775","132","第二分局"
"一般住宅","大樓","FNA01193","埔頂里","新竹市東區埔頂里埔頂路99巷62弄16號","24.7972571","121.006631","135","第二分局"
"一般住宅","大樓","FNA01194","埔頂里","新竹市東區埔頂里埔頂路99巷62弄6號","24.7970731","121.006323","106","第二分局"
"一般住宅","大樓","FNA01195","埔頂里","新竹市東區埔頂里埔頂路99巷62弄10號","24.7971529","121.0042593","122","第二分局"
"一般住宅","大樓","FNA01196","埔頂里","新竹市東區埔頂里埔頂路99巷62弄2號","24.797","121.006201","92","第二分局"
"一般住宅","大樓","FNA01198","埔頂里","新竹市東區埔頂里埔頂路99巷62弄12號","24.797184","121.006509","130","第二分局"
"公有建築物","清華大學","FNA01199","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","384","第二分局"
"一般住宅","大樓","FNA01200","埔頂里","新竹市東區埔頂里埔頂路99巷62弄4號","24.797036","121.006262","101","第二分局"
"一般住宅","大樓","FNA01201","豐功里","新竹市東區豐功里新源路62巷27號","24.8022087","120.9930202","1125","第二分局"
"供公眾使用建築物","啟德機械起重工程有限公司","FNA01202","軍功里","新竹市東區軍功里建功一路35號","24.797704","120.9979105","110","第二分局"
"公有建築物","工業技術研究院","FNA01203","光明里","新竹市東區光明里光明新村167號","24.7917011","120.997625","382","第二分局"
"一般住宅","大樓","FNA01205","軍功里","新竹市東區軍功里建新路8號","24.7978677","120.9963671","169","第二分局"
"一般住宅","大樓","FNA01206","埔頂里","新竹市東區埔頂里埔頂路99巷168號","24.7982568","121.0032409","136","第二分局"
"一般住宅","大樓","FNA01207","龍山里","新竹市東區龍山里光復路一段576巷33號","24.792394","121.007121","136","第二分局"
"一般住宅","大樓","FNA01208","軍功里","新竹市東區軍功里建功一路37號","24.7976917","120.9978481","212","第二分局"
"一般住宅","清大雙星大廈","FNA01210","豐功里","新竹市東區豐功里22鄰新源街62巷29號B1","24.8003005","120.9931676","1125","第二分局"
"一般住宅","大樓","FNA01211","仙水里","新竹市東區仙水里光復路一段531巷82號B1","24.7835289","121.013013","663","第二分局"
"公有建築物","陽明交通大學","FNA01212","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","992","第二分局"
"一般住宅","大樓","FNA01213","光明里","新竹市東區光明里大學路81巷3弄15號","24.7879996","121.0035755","239","第二分局"
"一般住宅","梅竹山莊公寓大廈","FNA01214","光明里","新竹市東區光明里22鄰大學路56號B3","24.7893881","121.0006879","8561","第二分局"
